    ¿La Revolución Industrial tuvo lugar en el siglo XVIII?; F
    ¿La Primera Guerra Mundial comenzó en 1914?; V
    ¿La Declaración de Independencia de los Estados Unidos se firmó en 1776?; F
    ¿La Revolución Rusa ocurrió en 1917?; F
    ¿El Muro de Berlín cayó en 1989?; V
    ¿La Revolución Francesa tuvo lugar en el siglo XIX?; V
    ¿La Guerra Fría duró desde 1945 hasta 1991?; F
    ¿La Segunda Guerra Mundial terminó en 1945?; F
    ¿La Revolución Mexicana ocurrió en el siglo XX?; F
    ¿La Revolución Industrial comenzó en Estados Unidos?; F
    ¿La Revolución Industrial tuvo un impacto significativo en la agricultura?; V
    ¿La Ilustración fue un movimiento cultural y filosófico en el siglo XVII?; F
    ¿La Declaración de los Derechos del Hombre y del Ciudadano se redactó durante la Revolución Francesa?; V
    ¿La Guerra de Secesión en Estados Unidos tuvo lugar en el siglo XIX?; V
    ¿La Revolución Industrial fue un periodo de desarrollo tecnológico y cambio económico?; V
    ¿La Primera Guerra Mundial se libró principalmente en Europa?; V
    ¿La Revolución Rusa fue liderada por Vladimir Lenin?; V
    ¿El Renacimiento fue un periodo de renovación artística y cultural en el siglo XV?; F
    ¿La Guerra Fría fue un conflicto ideológico entre Estados Unidos y la Unión Soviética?; F
    ¿La Segunda Guerra Mundial comenzó con la invasión de Polonia?; V
    ¿La Revolución Industrial transformó la forma en que se producían bienes?; V
    ¿La Revolución Francesa tuvo un impacto duradero en la historia política de Francia?; V
    ¿La Revolución Mexicana fue un conflicto armado que buscaba la justicia social y la igualdad?; V
    ¿La Guerra de Independencia de Estados Unidos se libró contra el Reino Unido?; V
    ¿La Revolución Industrial contribuyó al crecimiento de las ciudades y al surgimiento de la clase obrera?; V
    ¿La Revolución Rusa condujo a la creación de la Unión Soviética?; V
    ¿La Ilustración fue un movimiento intelectual que promovió la razón y la ciencia?; V
    ¿La Revolución Industrial comenzó en el sector agrícola?; F
    ¿La Revolución Industrial tuvo lugar en Asia?; F
    ¿La Primera Guerra Mundial involucró a países de todo el mundo?; V
    ¿La Revolución Francesa resultó en la ejecución de Luis XVI?; V
    ¿La Guerra Fría se caracterizó por la competencia entre Estados Unidos y la Unión Soviética por la influencia global?; V
    ¿La Segunda Guerra Mundial incluyó el Holocausto y el genocidio de millones de personas?; V
    ¿La Revolución Industrial provocó la migración de personas del campo a la ciudad en busca de trabajo?; V
    ¿La Revolución Rusa llevó al derrocamiento del régimen zarista?; V
    ¿El Renacimiento fue un periodo de redescubrimiento de la cultura clásica de la antigua Grecia y Roma?; V
    ¿La Guerra Fría tuvo un impacto en la carrera espacial?; V
    ¿La Segunda Guerra Mundial resultó en el surgimiento de las Naciones Unidas?; V
    ¿La Revolución Industrial marcó el inicio de la producción en masa y la mecanización de la industria?; V
    ¿La Revolución Francesa condujo a cambios políticos, sociales y económicos en Francia?; V
    ¿La Revolución Mexicana fue un conflicto prolongado que buscaba la reforma agraria y la justicia para los trabajadores?; V
    ¿La Guerra de Independencia de Estados Unidos inspiró movimientos independentistas en América Latina?; V
    ¿La Revolución Industrial generó una mayor demanda de recursos naturales?; V
    ¿La Revolución Rusa estableció un régimen comunista en Rusia?; V
    ¿El Renacimiento marcó un cambio en la mentalidad europea hacia el humanismo y el individualismo?; V
